disease_name,state,year,no_of_death,county_name
"Cerebrovascular Disease",SC,2011,40,Abbeville
"Cerebrovascular Disease",LA,2011,47,Acadia
"Cerebrovascular Disease",VA,2011,35,Accomack
"Cerebrovascular Disease",ID,2011,160,Ada
"Cerebrovascular Disease",IA,2011,5,Adair
"Cerebrovascular Disease",KY,2011,11,Adair
"Cerebrovascular Disease",MO,2011,13,Adair
"Cerebrovascular Disease",OK,2011,9,Adair
"Cerebrovascular Disease",CO,2011,199,Adams
"Cerebrovascular Disease",IA,2011,1,Adams
"Cerebrovascular Disease",ID,2011,3,Adams
"Cerebrovascular Disease",IL,2011,81,Adams
"Cerebrovascular Disease",IN,2011,19,Adams
"Cerebrovascular Disease",MS,2011,44,Adams
"Cerebrovascular Disease",ND,2011,1,Adams
"Cerebrovascular Disease",NE,2011,51,Adams
"Cerebrovascular Disease",OH,2011,36,Adams
"Cerebrovascular Disease",PA,2011,104,Adams
"Cerebrovascular Disease",WA,2011,5,Adams
"Cerebrovascular Disease",WI,2011,24,Adams
"Cerebrovascular Disease",VT,2011,21,Addison
"Cerebrovascular Disease",SC,2011,233,Aiken
"Cerebrovascular Disease",MN,2011,20,Aitkin
"Cerebrovascular Disease",FL,2011,207,Alachua
"Cerebrovascular Disease",NC,2011,74,Alamance
"Cerebrovascular Disease",CA,2011,1051,Alameda
"Cerebrovascular Disease",CO,2011,7,Alamosa
"Cerebrovascular Disease",NY,2011,205,Albany
"Cerebrovascular Disease",WY,2011,28,Albany
"Cerebrovascular Disease",VA,2011,95,Albemarle
"Cerebrovascular Disease",MI,2011,7,Alcona
"Cerebrovascular Disease",MS,2011,12,Alcorn
"Cerebrovascular Disease",AK,2011,2,"Aleutians East"
"Cerebrovascular Disease",AK,2011,3,"Aleutians West"
"Cerebrovascular Disease",IL,2011,4,Alexander
"Cerebrovascular Disease",NC,2011,59,Alexander
"Cerebrovascular Disease",VA,2011,161,"Alexandria City"
"Cerebrovascular Disease",OK,2011,12,Alfalfa
"Cerebrovascular Disease",MI,2011,12,Alger
"Cerebrovascular Disease",IA,2011,16,Allamakee
"Cerebrovascular Disease",MI,2011,70,Allegan
"Cerebrovascular Disease",MD,2011,57,Allegany
"Cerebrovascular Disease",NY,2011,41,Allegany
"Cerebrovascular Disease",NC,2011,3,Alleghany
"Cerebrovascular Disease",VA,2011,5,Alleghany
"Cerebrovascular Disease",PA,2011,822,Allegheny
"Cerebrovascular Disease",IN,2011,254,Allen
"Cerebrovascular Disease",KS,2011,24,Allen
"Cerebrovascular Disease",KY,2011,14,Allen
"Cerebrovascular Disease",LA,2011,19,Allen
"Cerebrovascular Disease",OH,2011,104,Allen
"Cerebrovascular Disease",SC,2011,4,Allendale
"Cerebrovascular Disease",MI,2011,31,Alpena
"Cerebrovascular Disease",CA,2011,0,Alpine
"Cerebrovascular Disease",CA,2011,36,Amador
"Cerebrovascular Disease",VA,2011,12,Amelia
"Cerebrovascular Disease",VA,2011,42,Amherst
