county_name,state,year,obesity_rate,diabetes_rate,excercise_rate,no_of_hospitals
Abbeville,SC,2011,35,13,0,3
Abbeville,SC,2012,37,13,0,3
Abbeville,SC,2013,37,14,0,3
Acadia,LA,2011,36,10,8,6
Acadia,LA,2012,38,10,12,6
Acadia,LA,2013,38,10,11,6
Accomack,VA,2011,36,12,13,0
Accomack,VA,2012,38,12,8,0
Accomack,VA,2013,38,13,6,0
Ada,ID,2011,24,7,12,9
Ada,ID,2012,25,7,11,9
Ada,ID,2013,25,7,12,9
Adair,IA,2011,33,11,27,3
Adair,IA,2012,38,11,27,3
Adair,IA,2013,38,11,26,3
Adair,KY,2011,40,13,0,3
Adair,KY,2012,43,13,6,3
Adair,KY,2013,43,13,5,3
Adair,MO,2011,34,9,4,3
Adair,MO,2012,34,9,4,3
Adair,MO,2013,34,9,4,3
Adair,OK,2011,40,14,5,3
Adair,OK,2012,43,14,0,3
Adair,OK,2013,43,14,0,3
Adams,CO,2011,27,6,5,12
Adams,CO,2012,27,6,5,12
Adams,CO,2013,27,7,5,12
Adams,IA,2011,35,9,0,3
Adams,IA,2012,40,9,0,3
Adams,IA,2013,40,9,0,3
Adams,ID,2011,40,10,0,0
Adams,ID,2012,34,10,0,0
Adams,ID,2013,34,11,0,0
Adams,IL,2011,31,10,10,3
Adams,IL,2012,37,10,10,3
Adams,IL,2013,37,9,12,3
Adams,IN,2011,35,9,18,3
Adams,IN,2012,40,9,15,3
Adams,IN,2013,40,9,15,3
Adams,MS,2011,42,15,13,6
Adams,MS,2012,41,15,7,6
Adams,MS,2013,41,15,6,6
Adams,ND,2011,33,11,0,3
Adams,ND,2012,37,11,0,3
Adams,ND,2013,37,11,0,3
Adams,NE,2011,32,8,12,3
Adams,NE,2012,32,8,15,3
Adams,NE,2013,32,8,13,3
Adams,OH,2011,35,10,0,3
Adams,OH,2012,38,10,0,3
Adams,OH,2013,38,10,0,3
Adams,PA,2011,33,10,11,3
Adams,PA,2012,32,10,10,3
Adams,PA,2013,32,12,10,3
Adams,WA,2011,42,11,6,6
Adams,WA,2012,41,11,6,6
Adams,WA,2013,41,10,5,6
Adams,WI,2011,35,10,0,3
Adams,WI,2012,39,10,5,3
Adams,WI,2013,39,11,5,3
Addison,VT,2011,24,6,16,3
Addison,VT,2012,25,6,14,3
Addison,VT,2013,25,7,16,3
Aiken,SC,2011,34,11,8,3
Aiken,SC,2012,35,11,6,3
Aiken,SC,2013,35,11,5,3
Aitkin,MN,2011,32,11,6,3
Aitkin,MN,2012,35,11,6,3
Aitkin,MN,2013,35,10,0,3
Alachua,FL,2011,29,8,10,6
Alachua,FL,2012,28,8,12,6
Alachua,FL,2013,28,7,12,6
Alamance,NC,2011,35,11,11,3
Alamance,NC,2012,37,11,10,3
Alamance,NC,2013,37,12,9,3
Alameda,CA,2011,22,7,10,33
Alameda,CA,2012,22,7,10,33
Alameda,CA,2013,22,8,10,33
Alamosa,CO,2011,27,7,26,3
Alamosa,CO,2012,25,7,19,3
Alamosa,CO,2013,25,7,19,3
Albany,NY,2011,30,8,12,9
Albany,NY,2012,28,8,12,9
Albany,NY,2013,28,8,13,9
Albany,WY,2011,24,5,12,3
Albany,WY,2012,25,5,18,3
Albany,WY,2013,25,5,11,3
Albemarle,VA,2011,29,9,13,3
Albemarle,VA,2012,32,9,13,3
Albemarle,VA,2013,32,11,12,3
Alcona,MI,2011,35,14,0,0
Alcona,MI,2012,37,14,0,0
Alcona,MI,2013,37,15,0,0
Alcorn,MS,2011,37,12,8,3
Alcorn,MS,2012,37,12,8,3
Alcorn,MS,2013,37,13,11,3
"Aleutians East",AK,2011,39,6,0,0
"Aleutians East",AK,2012,39,6,0,0
"Aleutians East",AK,2013,39,8,0,0
"Aleutians West",AK,2011,40,6,0,0
"Aleutians West",AK,2012,35,6,0,0
"Aleutians West",AK,2013,35,7,0,0
Alexander,IL,2011,33,11,0,0
Alexander,IL,2012,39,11,0,0
Alexander,IL,2013,39,11,0,0
Alexander,NC,2011,35,10,11,0
Alexander,NC,2012,35,10,8,0
Alexander,NC,2013,35,11,5,0
"Alexandria City",VA,2011,25,7,12,3
"Alexandria City",VA,2012,24,7,11,3
"Alexandria City",VA,2013,24,6,11,3
Alfalfa,OK,2011,38,11,0,0
Alfalfa,OK,2012,38,11,0,0
Alfalfa,OK,2013,38,13,0,0
Alger,MI,2011,36,11,0,3
Alger,MI,2012,38,11,0,3
Alger,MI,2013,38,11,0,3
Allamakee,IA,2011,33,10,0,3
Allamakee,IA,2012,35,10,0,3
Allamakee,IA,2013,35,9,0,3
Allegan,MI,2011,34,9,5,3
Allegan,MI,2012,37,9,5,3
Allegan,MI,2013,37,9,5,3
Allegany,MD,2011,33,14,19,3
Allegany,MD,2012,34,14,17,3
Allegany,MD,2013,34,12,13,3
Allegany,NY,2011,33,10,6,6
