@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute poverty numeric
@attribute population numeric
@attribute per_capita_income numeric
@attribute num_of_death numeric
@attribute num_of_birth numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,WI,14.8,83351,64990,540,1292,cluster8
1,AR,27.4,50021,36588,559,1385,cluster3
2,SC,28.4,270406,52249,6638,5303,cluster2
3,SD,6.89,14651,66242,101,685,cluster8
4,CT,11.4,151539,75048,1245,5101,cluster5
5,NY,14.8,909247,46773,9297,15654,cluster1
6,NV,9.9,775,40517,5,31,cluster4
7,ME,20.9,71488,36344,802,1203,cluster7
8,TX,14.5,7980,32469,109,161,cluster4
9,VA,10.1,11851,36996,66,630,cluster4
10,AL,18.07,34117,38132,241,1016,cluster7
11,SD,46.15,13928,27200,186,448,cluster0
12,GA,20.2,67764,39370,594,2256,cluster7
13,SD,9.1,2324,44800,39,51,cluster6
14,KY,21.4,31200,43825,510,806,cluster7
15,WA,12,39532,40376,299,1224,cluster4
16,TX,15.67,130698,42738,2829,4106,cluster1
17,AL,21.93,81664,33856,939,1442,cluster3
18,TN,13.99,81509,42569,1546,2432,cluster1
19,GA,16.5,99944,48989,737,1676,cluster1
20,TN,24.04,18020,28666,95,485,cluster3
21,WI,24.5,24461,42791,427,685,cluster3
22,PA,12,135660,38740,2155,2807,cluster4
23,GA,17.21,183052,49324,3526,3629,cluster1
24,SC,25.2,28145,28927,250,617,cluster3
25,TX,29.3,3423,28624,85,130,cluster3
26,WI,13.8,21496,37154,284,778,cluster4
27,MN,12,60155,51954,1098,2260,cluster6
28,ND,20.1,4271,48422,89,120,cluster2
29,KY,16.7,38813,29813,461,1907,cluster7
30,MI,14.9,167562,44706,4044,5842,cluster1
31,IN,13.1,165682,63879,1561,4993,cluster8
32,AL,14.1,78572,49667,1318,4184,cluster1
33,GA,34.3,6306,28618,57,114,cluster0
34,KY,22.62,27586,35471,434,1345,cluster3
35,NC,20.1,36292,31805,812,1401,cluster7
36,MO,11.2,7316,33452,106,116,cluster4
37,NC,17.8,183263,44263,2076,4864,cluster1
38,MS,19.7,9809,24205,99,181,cluster7
39,VA,23,1037605,102726,25274,21228,cluster5
40,IA,19,102323,43163,1394,2507,cluster7
