@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute African_American numeric
@attribute American_Alaskan_Native numeric
@attribute asian numeric
@attribute hispanic numeric
@attribute pacific_highlander numeric
@attribute 18_younger numeric
@attribute senior_citizen numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14}

@data
0,WI,0.7,0.3,1.3,1.4,0,25.9,10,cluster1
1,AR,50.94,0.33,0.65,2.09,0.04,28.44,11.44,cluster0
2,SC,14.23,0.52,1.56,5.65,0.07,23.93,13.22,cluster12
3,SD,0.73,0.74,0.98,2.3,0.07,25.5,14.44,cluster1
4,CT,3.13,0.22,3.64,4.54,0.07,19.22,13.01,cluster4
5,NY,13.5,0.7,1.9,4,0,21.5,15.8,cluster12
6,NV,0,4.75,0.4,17.94,0,18.45,24.9,cluster14
7,ME,0.7,1.5,0.7,1.3,0,20.1,18.4,cluster7
8,TX,2.4,0.3,0.3,30.7,0,25.8,18,cluster13
9,VA,59.66,0.25,0.39,1.5,0.01,16.74,13.99,cluster0
10,AL,11.64,5.72,0.18,1.89,0.02,22.78,15.16,cluster1
11,SD,0.31,92.45,0.36,2.98,0.05,39.07,6.23,cluster9
12,GA,33.69,0.36,1.72,3.49,0.15,26.11,12.52,cluster5
13,SD,0,0.38,0.25,1.31,0,21.39,19.58,cluster3
14,KY,0.8,0.2,0.3,1.2,0,20.3,19,cluster7
15,WA,1.1,1.2,3,7.3,0.2,18,12.4,cluster4
16,TX,10.22,1.28,2.11,17.21,0.11,22.9,13.2,cluster13
17,AL,31.76,0.37,0.43,2.14,0.01,23.15,14.39,cluster5
18,TN,12.42,0.41,0.69,5.01,0.05,24.02,13.43,cluster12
19,GA,36.9,0.2,1.2,3.9,0,29.2,9.8,cluster5
20,TN,0.36,0.24,0.23,1.12,0.03,22.79,17.74,cluster7
21,WI,1.89,0.69,0.39,5.89,0.07,19.25,21.09,cluster3
22,PA,4.69,0.15,0.33,0.87,0.02,19.76,18.55,cluster7
23,GA,7.42,0.96,1.95,26.82,0.19,27.76,11.48,cluster10
24,SC,50.61,4.61,0.33,2.91,0.03,21.04,14.35,cluster0
25,TX,1.14,1.29,0.82,78.56,0.03,28.78,14.26,cluster6
26,WI,0.6,9.9,0.4,1.4,0,17.2,26,cluster14
27,MN,1.41,1.43,1.43,3.59,0.05,22.96,12.23,cluster1
28,ND,0.09,0.52,0.12,0.55,0.02,18.66,27.53,cluster14
29,KY,0.7,0.2,0.4,0.9,0,24.4,14.7,cluster1
30,MI,2.5,0.6,0.5,2.7,0,23.8,13.9,cluster1
31,IN,3.01,0.37,1.28,8.78,0.03,23.42,13.38,cluster1
32,AL,13.5,0.5,0.8,4.6,0,23.8,11.9,cluster12
33,GA,61.1,0.1,0.1,4.3,0,20.5,12.4,cluster0
34,KY,0.58,0.26,0.2,1.22,0.03,22.98,15.3,cluster1
35,NC,38.3,10,0.6,1.5,0,25.4,12.9,cluster5
36,MO,0.6,0.8,0.2,1.6,0.1,22.4,20.7,cluster3
37,NC,15.01,0.8,2.03,10.54,0.29,24.89,7.88,cluster10
38,MS,73.9,0.1,0.4,2.9,0,29.9,11.7,cluster0
39,VA,9.7,0.4,16.5,15.1,0.1,24.9,9.8,cluster8
40,IA,2.38,2.55,2.48,14.04,0.18,26.32,13.18,cluster10
41,TN,3.97,0.36,1.25,3.03,0.04,19.82,16.04,cluster7
42,MN,2.1,1.3,1.4,1.7,0,19.8,16.7,cluster7
43,MS,38.79,0.22,0.17,1.32,0.03,25.74,14.15,cluster5
44,GA,1.31,0.45,0.84,1.86,0.07,20.94,14.85,cluster7
45,WY,0.33,0.99,0.4,4.09,0.08,27,13.65,cluster1
46,PA,2.16,0.15,0.54,2.45,0.02,19.26,18.25,cluster7
47,GA,10.8,0.1,0.4,3.8,0.1,22.6,14.6,cluster1
48,OR,0.5,1.3,0.7,5.7,0.1,20.5,21.7,cluster3
49,WI,1.54,0.56,1.35,1.26,0.03,22.96,15.16,cluster1
50,NC,35.29,1.73,2.41,9.85,0.39,26.5,9.58,cluster5
51,VA,47.8,0.4,2.1,4.1,0.1,22.3,11.7,cluster5
52,IL,0.5,0.3,0.4,1.06,0.03,22.33,16.16,cluster7
53,VA,14.8,0.4,1,1.3,0,19.2,21.6,cluster3
54,NH,1.08,0.27,1.64,1.7,0.03,21.22,14.02,cluster7
55,MN,10.9,1.2,5.8,6.4,0.1,22.6,11.2,cluster4
56,NE,0.3,11.05,0.39,3.47,0.22,22.76,22.37,cluster3
57,NE,0.44,0.24,0.17,3.52,0,24.09,20.54,cluster3
58,TX,1.63,1.13,0.35,38.17,0.03,34.88,8.88,cluster2
59,VA,5.81,0.29,1.11,1.7,0.02,21.16,18,cluster7
60,KY,1.4,0.3,0.2,1.3,0,26.6,12.6,cluster1
61,SD,0.22,31.46,0.23,2.11,0.01,29.69,17.35,cluster11
62,MS,72.4,0.18,0.7,2.47,0.12,30.11,9.77,cluster0
63,OH,6.05,0.31,0.41,1.04,0.01,22.17,14.33,cluster1
64,SD,0.28,8.39,0.17,1.73,0.06,24.98,17.1,cluster1
65,VA,13.06,0.42,5.33,4.82,0.16,24.63,13.27,cluster12
66,WY,0.31,1.72,0.68,13.74,0.08,25.07,18.39,cluster13
67,AR,6.32,0.65,0.88,3.48,0.08,27.1,11.39,cluster1
68,MT,0.45,21.62,0.52,2.56,0.07,26.88,12.63,cluster11
69,OH,3.36,0.17,1.21,3.57,0.02,21.79,16.31,cluster7
70,SC,25.48,0.31,0.36,4.17,0.12,22.86,15.99,cluster12
71,VA,21.2,0.2,1.1,1.4,0,19.9,13,cluster12
72,ND,0.1,3.1,0.2,0.3,0,18.7,25.3,cluster14
73,IL,9.76,0.23,0.33,2.64,0.07,19.34,16.59,cluster7
74,KS,0.44,0.69,0.32,1.88,0.06,22.55,20.17,cluster3
75,TX,4.6,1.3,0.2,20,0,21.8,23.3,cluster13
76,NY,1.67,0.23,1.2,3.17,0.04,17.54,17.63,cluster7
77,AL,25.2,0.5,0.2,1.3,0,24.2,16.2,cluster12
78,MS,43.3,0.2,0.6,1.8,0,26.3,13,cluster5
79,IA,0.1,0.2,0.2,0.8,0.2,23.2,21.4,cluster3
80,WV,0.56,0.16,0.39,0.83,0.01,20.36,18.28,cluster7
81,KS,0.54,1.84,0.13,37.73,0.22,27.49,16.18,cluster2
82,ND,0.3,0.9,0.5,1.1,0,20.9,21.9,cluster3
83,NJ,9.82,0.22,2.76,4.96,0.05,23.55,13.28,cluster1
84,IL,1.1,0.3,0.2,1.1,0,21.7,19.8,cluster3
85,NC,1.39,1.42,0.54,2.58,0.06,18.64,23.96,cluster3
86,FL,35.45,0.34,0.59,3.83,0.03,18.11,18.71,cluster5
87,IN,0.45,0.36,0.25,13.69,0.02,26.39,15.02,cluster1
88,WA,0.3,2.4,0.6,6,0.2,22.4,13,cluster1
89,NY,0.84,0.21,0.8,1.51,0.04,22.88,16.04,cluster7
90,MO,1.41,0.78,0.38,1.64,0.02,24.5,16.04,cluster1
91,KY,1.1,0.2,0.1,1.3,0,24.5,12.2,cluster1
92,WI,0.4,1.2,0.3,1.1,0,22.9,15.5,cluster7
93,OK,2.01,6.98,0.47,12.42,0.01,24.33,17.55,cluster13
94,OH,1.7,0.2,0.9,1.4,0,25.3,14.2,cluster1
95,AR,30.2,0.38,0.27,3.31,0.01,18.32,12.95,cluster5
96,GA,45.67,0.43,0.86,6.88,0.05,22.55,12.03,cluster5
97,KY,6.05,0.37,0.39,7.13,0.01,23.96,15.44,cluster1
98,OK,7.8,8.5,0.9,4.5,0,25.8,15,cluster1
99,IL,1.65,0.25,0.43,4.91,0.03,23.52,17.38,cluster7
100,ME,0.6,0.32,1.12,1.33,0.03,20.91,15.74,cluster7
101,ND,0.5,1.7,0.4,10.5,0,22.7,19.9,cluster3
102,IN,4.85,0.33,0.8,2.58,0.08,22.91,17.15,cluster7
103,IL,9.11,0.22,0.67,2.96,0.04,22.18,19.65,cluster7
104,OH,1,0.3,0.6,3.6,0,23,15.8,cluster7
105,MT,0.5,1.1,1.1,2.6,0.1,20.3,9.1,cluster4
106,WV,1.24,0.11,0.41,0.71,0.01,18.37,19.93,cluster3
107,CA,2.44,1.41,32.87,27.16,0.5,23.9,11.33,cluster8
108,TX,1.67,1.52,7.29,52.54,0.18,32,9.6,cluster2
109,TN,0.44,0.63,0.27,4.47,0.01,24.88,14.93,cluster1
110,AK,6.29,15.69,29.85,13.93,2.1,13.47,4.49,cluster8
111,AL,41.92,0.38,1.48,4.02,0.08,23.47,13.25,cluster5
112,TN,41.23,0.27,0.58,1.41,0,20.28,15.18,cluster5
113,VA,13.2,0.34,2.29,4.78,0.1,21.02,21.48,cluster3
114,NM,3.1,1.7,1,38.3,0.1,26.2,11.2,cluster2
115,KS,6.17,0.68,4.29,6.97,0.22,18.16,7.3,cluster4
116,OH,3.4,0.2,0.4,3.5,0,23.6,15.3,cluster1
117,MN,3.75,0.49,5.23,3.49,0.04,25.63,11.72,cluster1
118,AL,1.68,0.62,0.21,8.56,0.11,24.39,15.03,cluster1
119,NE,0.47,0.35,0.47,6.02,0.14,23.72,19.08,cluster7
120,OK,10.9,2.8,0.5,4.7,0.1,24.4,12,cluster1
121,OH,9.26,0.21,0.66,1.48,0.03,22.01,17.15,cluster7
122,ND,0.2,0.9,0.1,1.5,0,24.5,21.1,cluster3
123,IA,0.46,0.4,0.22,2.73,0.15,21.28,22.14,cluster3
124,TX,33.58,0.94,3.64,17.54,0.07,23.84,12.95,cluster5
125,AR,14.4,0.3,0.3,2.4,0,24,15.1,cluster12
126,KY,2.9,0.2,2.4,3.3,0,27.3,9.7,cluster10
127,KY,8.4,0.4,0.6,9.6,0.1,24.7,11.6,cluster1
128,OH,25.66,0.26,2.14,2.65,0.09,23.33,13.67,cluster12
129,NC,20.6,1.77,1.05,11.17,0.16,27.65,10.66,cluster12
130,TN,3.8,0.2,0.1,3.4,0.1,24.6,18,cluster7
131,TX,0.73,0.97,0,16.06,0,21.69,27.65,cluster14
132,PA,3.26,0.19,3.12,2.84,0.04,20.28,15.84,cluster4
133,WI,2.22,2.92,2.9,7.51,0.07,24.68,11.85,cluster1
134,FL,5.97,0.83,0.56,2.65,0.15,21.15,18.03,cluster7
135,KY,1.02,0.31,0.21,1.56,0,24.05,15,cluster1
136,VA,20.8,0.5,7.4,18.7,0.2,29.3,6.7,cluster10
137,OH,0.46,0.41,0.15,0.91,0.01,24.69,15.17,cluster1
138,NY,1.39,0.25,0.72,2.9,0.03,19.55,16.17,cluster7
139,OH,29.44,0.26,2.7,4.96,0.05,22,15.91,cluster5
140,IL,1.6,0.3,0.5,10.2,0,23.3,17.2,cluster7
141,MI,0.6,0.7,0.6,1.1,0,22.8,16.6,cluster7
142,NJ,11.04,1.44,5.43,37.75,0.16,24.41,12.62,cluster2
143,MD,65.6,0.5,4,13.5,0.1,24.8,9.5,cluster0
144,WY,0.27,0.77,0.6,4.98,0.08,20.59,18.6,cluster7
145,TX,21.83,1.04,0.52,3.83,0.03,18.85,21.82,cluster12
146,NY,1.7,0.3,1.2,1.2,0,23,15.6,cluster7
147,CT,1.27,0.28,1.67,4.77,0.05,21.02,16.42,cluster7
148,VA,20.5,0.1,4.2,3.9,0,15.9,14.1,cluster12
149,AZ,0.95,3.23,0.73,47.86,0.09,28.66,12.11,cluster2
150,AL,51.52,0.18,0.26,1.71,0.17,23.4,17.79,cluster0
151,GA,30.4,0.7,0.4,11.4,0.1,26.6,12.7,cluster5
152,IN,0.66,0.69,0.45,2.24,0.02,22.39,18.44,cluster7
153,PA,2.65,0.2,0.55,2.89,0.03,19.55,18.65,cluster7
154,SD,1.2,2.7,2.6,1.5,0,17,10.5,cluster4
155,IN,0.6,0.37,0.28,13.85,0.02,26.64,14.51,cluster1
156,TX,1.42,0.73,0.37,44.28,0.06,29.26,12.74,cluster2
157,MA,9.3,0.4,1.8,19.7,0.2,23.6,14,cluster13
158,KY,1.54,0.15,0.29,4.54,0.06,26.92,11.91,cluster1
159,MT,0.16,64.29,0.3,2.11,0.01,31.78,10.51,cluster9
160,GA,8.41,0.31,0.71,4.33,0.02,23.58,14.78,cluster1
161,MN,1.2,0.66,0.91,1.67,0.02,25.01,12.38,cluster1
162,GA,29.4,0.4,0.3,1.5,0,24.5,14,cluster5
163,OH,1.83,0.36,0.38,8.77,0.04,24.19,15.4,cluster1
164,ND,1.2,1.1,0.3,0.7,0,20.4,20,cluster3
165,NC,40.27,0.62,0.59,6.77,0.17,23.58,16.88,cluster5
166,NM,2.1,4,0.7,56.1,0.1,26,11.8,cluster2
167,MS,36.7,0.1,0.1,1.2,0,26.6,14,cluster5
168,KY,20.68,0.7,1.2,6.39,0.4,28.24,10.57,cluster12
169,WV,1.65,0.22,0.51,1.32,0.02,21.71,17.07,cluster7
170,KS,0.37,0.71,0.57,15.44,0.12,25.97,17.56,cluster13
171,TX,3.02,1.06,1.2,17.72,0.22,24.31,16.86,cluster13
172,IL,8.03,0.35,0.22,2.92,0.03,18.75,18.45,cluster7
173,NC,13.25,0.9,0.94,6.07,0.16,21.2,23.4,cluster3
174,MS,41.67,0.18,0.35,1.07,0.01,24.58,15.47,cluster5
175,SD,0.1,0.2,0,0.3,0,21.7,24.3,cluster3
176,IA,0.1,0.6,0.2,0.9,0,21.9,21.7,cluster3
177,CO,10.1,0.8,4.7,17.5,0.2,25.7,11.3,cluster10
178,WI,1.44,0.45,4.71,5.61,0.04,23.55,14.74,cluster1
179,NC,5.3,0.4,0.3,4.1,0,18.2,17.6,cluster7
180,IA,0.48,0.19,0.19,1.17,0,23,19.78,cluster7
181,VT,0.85,0.31,0.75,1.46,0.04,19.95,19.42,cluster3
182,WV,2.9,0.2,0.3,0.9,0,21.8,15.2,cluster7
183,GA,8.9,0.26,0.61,4.2,0.04,22.44,17.32,cluster7
184,GA,13.3,0.2,0.3,1.7,0,27,12,cluster12
185,MS,36.83,0.32,0.08,1.82,0.05,24.07,15.46,cluster5
186,MD,8.09,0.15,0.81,1.49,0.05,17.6,18.52,cluster7
187,AR,29.35,0.63,0.45,12.03,0.13,26.36,15.44,cluster12
188,KY,8.8,0.2,0.2,3.1,0,27.3,13.5,cluster1
189,MD,8.53,0.44,4.1,7.59,0.07,24.35,12,cluster1
190,IN,0.51,0.23,0.33,1.32,0,21.24,17.18,cluster7
