@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R3,5_clustered'

@attribute Instance_number numeric
@attribute disease_name {'Cerebrovascular Disease',Cholera,'Chronic lower respiratory diseases','Diabetes mellitus','Diarrheal Diseases',HIV/AIDS,'Influenza and pneumonia',Malaria,'Malignant tumours',Tuberculosis}
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute no_of_death numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,HIV/AIDS,GA,4,cluster0
1,'Influenza and pneumonia',MO,33,cluster8
2,'Diabetes mellitus',NC,34,cluster4
3,Malaria,NE,1,cluster7
4,HIV/AIDS,WY,15,cluster0
5,'Influenza and pneumonia',ND,1,cluster8
6,'Chronic lower respiratory diseases',FL,4,cluster5
7,'Chronic lower respiratory diseases',IL,52,cluster5
8,'Diarrheal Diseases',LA,351,cluster1
9,Malaria,ND,3,cluster7
10,'Cerebrovascular Disease',TX,80,cluster3
11,HIV/AIDS,NC,18,cluster0
12,'Chronic lower respiratory diseases',TN,47,cluster5
13,'Chronic lower respiratory diseases',CO,24,cluster5
14,HIV/AIDS,KY,12,cluster0
15,Malaria,OH,56,cluster7
16,Cholera,MI,1,cluster9
17,'Diarrheal Diseases',CA,2,cluster1
18,Cholera,NY,56,cluster9
19,Tuberculosis,MI,56,cluster6
20,'Cerebrovascular Disease',MI,27,cluster3
21,Cholera,MO,19,cluster9
22,Malaria,NM,18,cluster7
23,Tuberculosis,NM,9,cluster6
24,'Diarrheal Diseases',TN,21,cluster1
25,'Diarrheal Diseases',GA,2,cluster1
26,Tuberculosis,GA,12,cluster6
27,'Influenza and pneumonia',NH,16,cluster8
28,'Influenza and pneumonia',NC,5,cluster8
29,Cholera,KS,2,cluster9
30,'Diabetes mellitus',FL,128,cluster4
31,HIV/AIDS,TN,41,cluster0
32,HIV/AIDS,VT,35,cluster0
33,'Diarrheal Diseases',CO,19,cluster1
34,HIV/AIDS,PA,30,cluster0
35,HIV/AIDS,GA,6,cluster0
36,'Diarrheal Diseases',MT,10,cluster1
37,Cholera,CA,38,cluster9
38,Malaria,AR,6,cluster7
39,Cholera,WA,45,cluster9
40,'Diabetes mellitus',WI,31,cluster4
41,Cholera,IA,8,cluster9
42,HIV/AIDS,MO,19,cluster0
43,'Cerebrovascular Disease',IN,233,cluster3
44,'Chronic lower respiratory diseases',WI,114,cluster5
45,Cholera,GA,1,cluster9
46,'Diarrheal Diseases',KY,147,cluster1
47,'Diabetes mellitus',VA,3,cluster4
48,'Chronic lower respiratory diseases',VA,104,cluster5
49,'Influenza and pneumonia',GA,3,cluster8
50,'Influenza and pneumonia',IA,9,cluster8
51,HIV/AIDS,NC,82,cluster0
52,Malaria,MT,1,cluster7
53,Malaria,WI,28,cluster7
54,'Influenza and pneumonia',AR,8,cluster8
55,HIV/AIDS,IN,33,cluster0
56,Tuberculosis,MD,2052,cluster6
57,'Cerebrovascular Disease',IA,25,cluster3
58,HIV/AIDS,GA,52,cluster0
59,'Diabetes mellitus',TN,45,cluster4
60,HIV/AIDS,FL,234,cluster0
61,'Influenza and pneumonia',TN,58,cluster8
62,Malaria,WV,50,cluster7
63,'Malignant tumours',MT,2,cluster2
64,Cholera,WI,70,cluster9
65,'Malignant tumours',MO,4,cluster2
66,'Diarrheal Diseases',TX,35,cluster1
67,HIV/AIDS,VA,25,cluster0
68,'Influenza and pneumonia',LA,31,cluster8
69,Malaria,AR,13,cluster7
70,Malaria,MO,66,cluster7
71,'Diabetes mellitus',GA,8,cluster4
72,'Chronic lower respiratory diseases',TN,14,cluster5
73,'Cerebrovascular Disease',NV,451,cluster3
74,Cholera,DE,236,cluster9
75,'Diabetes mellitus',NC,902,cluster4
76,'Malignant tumours',KY,11,cluster2
77,Cholera,TN,18,cluster9
78,Malaria,KY,8,cluster7
79,'Chronic lower respiratory diseases',LA,81,cluster5
80,'Cerebrovascular Disease',MI,1,cluster3
81,Cholera,CO,19,cluster9
82,'Influenza and pneumonia',VA,33,cluster8
83,'Influenza and pneumonia',TN,13,cluster8
84,'Diarrheal Diseases',OK,12,cluster1
85,'Diarrheal Diseases',NE,78,cluster1
86,'Malignant tumours',MO,12,cluster2
87,'Diarrheal Diseases',TN,58,cluster1
88,'Cerebrovascular Disease',LA,14,cluster3
89,'Diarrheal Diseases',AR,14,cluster1
90,'Diabetes mellitus',CA,920,cluster4
91,Cholera,ND,25,cluster9
92,'Cerebrovascular Disease',FL,112,cluster3
93,Malaria,AR,4,cluster7
94,Tuberculosis,MO,10,cluster6
95,'Chronic lower respiratory diseases',MO,10,cluster5
96,'Influenza and pneumonia',MO,7,cluster8
97,HIV/AIDS,KY,171,cluster0
98,Malaria,TN,31,cluster7
99,'Chronic lower respiratory diseases',WI,2,cluster5
100,Malaria,VA,45,cluster7
101,'Malignant tumours',FL,226,cluster2
102,'Diabetes mellitus',TX,1217,cluster4
103,'Diabetes mellitus',OH,121,cluster4
104,Cholera,IN,74,cluster9
105,'Malignant tumours',MI,8,cluster2
106,HIV/AIDS,GA,811,cluster0
107,'Malignant tumours',TX,12,cluster2
108,'Influenza and pneumonia',OH,116,cluster8
109,'Malignant tumours',TX,63,cluster2
110,'Diabetes mellitus',AL,16,cluster4
111,'Chronic lower respiratory diseases',MI,3,cluster5
112,'Influenza and pneumonia',VA,2,cluster8
113,'Diarrheal Diseases',IN,19,cluster1
114,'Chronic lower respiratory diseases',MS,71,cluster5
115,Cholera,KS,34,cluster9
116,'Influenza and pneumonia',NC,87,cluster8
117,'Chronic lower respiratory diseases',OH,172,cluster5
118,'Diarrheal Diseases',CO,4,cluster1
119,'Chronic lower respiratory diseases',SC,154,cluster5
120,'Diarrheal Diseases',IN,34,cluster1
121,HIV/AIDS,NV,330,cluster0
122,'Diarrheal Diseases',FL,322,cluster1
123,HIV/AIDS,PA,165,cluster0
124,HIV/AIDS,MI,63,cluster0
125,Malaria,AK,4,cluster7
126,'Malignant tumours',FL,1165,cluster2
127,Cholera,GA,46,cluster9
128,'Influenza and pneumonia',IL,19,cluster8
129,'Diarrheal Diseases',CT,89,cluster1
130,HIV/AIDS,SC,119,cluster0
131,Malaria,KS,8,cluster7
132,'Malignant tumours',AR,302,cluster2
133,Cholera,AR,46,cluster9
134,Cholera,NE,195,cluster9
135,'Influenza and pneumonia',CA,3182,cluster8
136,'Cerebrovascular Disease',CO,3,cluster3
137,Malaria,WV,63,cluster7
138,Cholera,KS,0,cluster9
139,Tuberculosis,NE,1,cluster6
140,HIV/AIDS,MS,7,cluster0
141,Tuberculosis,IA,7,cluster6
142,'Malignant tumours',MT,1,cluster2
143,'Diarrheal Diseases',NE,15,cluster1
144,'Chronic lower respiratory diseases',FL,13,cluster5
145,Malaria,GA,7,cluster7
146,'Cerebrovascular Disease',VA,14,cluster3
147,'Malignant tumours',NE,1,cluster2
148,Cholera,NC,33,cluster9
149,HIV/AIDS,UT,15,cluster0
150,Tuberculosis,NY,75,cluster6
151,Tuberculosis,KY,20,cluster6
152,'Diabetes mellitus',NC,95,cluster4
153,Cholera,KS,31,cluster9
154,'Chronic lower respiratory diseases',WV,21,cluster5
155,'Cerebrovascular Disease',MO,26,cluster3
156,Cholera,WY,28,cluster9
157,'Diarrheal Diseases',FL,280,cluster1
158,Malaria,AR,18,cluster7
159,'Cerebrovascular Disease',MI,18,cluster3
160,Tuberculosis,NH,131,cluster6
161,'Cerebrovascular Disease',NM,86,cluster3
162,Malaria,SD,3,cluster7
163,Malaria,MA,170,cluster7
164,Cholera,FL,13,cluster9
165,'Cerebrovascular Disease',GA,6,cluster3
166,Tuberculosis,OK,35,cluster6
167,Cholera,OK,2,cluster9
168,'Cerebrovascular Disease',NE,2,cluster3
169,'Chronic lower respiratory diseases',MA,574,cluster5
170,Malaria,MN,10,cluster7
171,HIV/AIDS,MO,96,cluster0
172,Cholera,VA,15,cluster9
173,'Diarrheal Diseases',KY,46,cluster1
174,HIV/AIDS,MS,6,cluster0
175,'Cerebrovascular Disease',LA,365,cluster3
176,Tuberculosis,NE,4,cluster6
177,Tuberculosis,MS,11,cluster6
178,'Malignant tumours',PA,14,cluster2
179,'Cerebrovascular Disease',TX,115,cluster3
180,'Diabetes mellitus',CA,5,cluster4
181,HIV/AIDS,NY,152,cluster0
182,'Malignant tumours',OH,6,cluster2
183,Tuberculosis,IL,170,cluster6
184,'Diarrheal Diseases',KY,5,cluster1
185,HIV/AIDS,OH,17,cluster0
186,Cholera,PA,458,cluster9
187,Malaria,TN,35,cluster7
188,'Diarrheal Diseases',CO,204,cluster1
189,HIV/AIDS,TX,36,cluster0
190,'Diarrheal Diseases',PA,60,cluster1
191,'Cerebrovascular Disease',NE,1,cluster3
192,HIV/AIDS,MS,7,cluster0
193,'Cerebrovascular Disease',MA,76,cluster3
194,'Cerebrovascular Disease',NY,124,cluster3
195,Malaria,TX,24,cluster7
196,Tuberculosis,KS,3,cluster6
197,'Malignant tumours',MT,3,cluster2
198,Tuberculosis,LA,14,cluster6
199,'Diarrheal Diseases',NC,33,cluster1
200,Malaria,OK,34,cluster7
201,'Diabetes mellitus',WI,74,cluster4
202,HIV/AIDS,NE,3,cluster0
203,'Diarrheal Diseases',SD,59,cluster1
204,Cholera,AL,86,cluster9
205,Tuberculosis,WA,78,cluster6
206,Tuberculosis,IN,33,cluster6
207,Tuberculosis,TX,2,cluster6
208,'Cerebrovascular Disease',MO,4,cluster3
209,'Malignant tumours',LA,8,cluster2
210,Malaria,KY,28,cluster7
211,HIV/AIDS,MD,44,cluster0
212,Malaria,VA,94,cluster7
213,HIV/AIDS,FL,24,cluster0
214,Cholera,MT,10,cluster9
215,'Malignant tumours',NY,30,cluster2
216,HIV/AIDS,KY,90,cluster0
217,Cholera,GA,13,cluster9
218,'Diarrheal Diseases',CO,517,cluster1
219,Malaria,TX,10,cluster7
220,'Influenza and pneumonia',ID,14,cluster8
221,Tuberculosis,MN,29,cluster6
222,'Chronic lower respiratory diseases',VA,140,cluster5
223,'Chronic lower respiratory diseases',OR,71,cluster5
224,Cholera,VA,88,cluster9
225,HIV/AIDS,OH,121,cluster0
226,'Malignant tumours',MS,4,cluster2
227,'Diarrheal Diseases',OK,37,cluster1
228,Tuberculosis,SD,64,cluster6
229,'Influenza and pneumonia',MT,0,cluster8
230,HIV/AIDS,MS,5,cluster0
231,'Diarrheal Diseases',GA,5,cluster1
232,'Influenza and pneumonia',GA,149,cluster8
233,'Diarrheal Diseases',FL,20,cluster1
