@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute obesity_rate numeric
@attribute diabetes_rate numeric
@attribute excercise_rate numeric
@attribute no_of_hospitals numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,WI,32,7,13,0,cluster8
1,AR,42,14,2,3,cluster0
2,SC,35,11,11,3,cluster2
3,SD,36,7,14,3,cluster8
4,CT,25,7,10,6,cluster9
5,NY,30,10,12,21,cluster5
6,NV,35,11,0,0,cluster2
7,ME,32,13,7,12,cluster2
8,TX,34,11,25,0,cluster4
9,VA,42,12,0,0,cluster6
10,AL,45,14,3,3,cluster7
11,SD,46,14,0,3,cluster7
12,GA,39,13,5,3,cluster0
13,SD,44,10,0,0,cluster1
14,KY,38,11,13,3,cluster1
15,WA,27,7,10,3,cluster9
16,TX,34,11,8,9,cluster2
17,AL,41,15,4,6,cluster7
18,TN,39,11,11,3,cluster1
19,GA,39,11,6,3,cluster1
20,TN,42,13,6,3,cluster6
21,WI,39,9,16,3,cluster3
22,PA,37,13,5,6,cluster0
23,GA,33,10,4,3,cluster3
24,SC,48,14,3,3,cluster7
25,TX,36,10,0,0,cluster3
26,WI,31,9,18,3,cluster5
27,MN,36,8,8,0,cluster8
28,ND,34,10,0,3,cluster3
29,KY,38,14,5,0,cluster0
30,MI,35,10,15,0,cluster3
31,IN,35,10,9,3,cluster3
32,AL,35,10,5,3,cluster3
33,GA,41,13,0,0,cluster6
34,KY,40,12,7,0,cluster6
35,NC,41,15,5,3,cluster7
36,MO,35,11,0,0,cluster2
